"recipient_fec_id","recipeint_committee","amount","expended","affiliation","giving_fec_id","giving_committee","fec_file","transaction_id","form_type","purpose","memo"
"C00458877","KINZINGER FOR CONGRESS",5000,"2019-02-14","REP","C00024869","GENERAL ELECTRIC COMPANY POLITICAL ACTION COMMITTEE GEPAC",1331599,"8B42DE0B74A852162ED","SB23","2020 PRIMARY",
"C00193342","MCCONNELL SENATE COMMITTEE",4000,"2019-02-14","REP","C00024869","GENERAL ELECTRIC COMPANY POLITICAL ACTION COMMITTEE GEPAC",1331599,"7F70C1BDED2E9CC7315","SB23","2020 PRIMARY",
"C00193342","MCCONNELL SENATE COMMITTEE",3000,"2019-02-14","REP","C00024869","GENERAL ELECTRIC COMPANY POLITICAL ACTION COMMITTEE GEPAC",1331599,"4E9E60A685EC2573417","SB23","2020 GENERAL",
"C00213512","NANCY PELOSI FOR CONGRESS",2500,"2019-02-14","DEM","C00024869","GENERAL ELECTRIC COMPANY POLITICAL ACTION COMMITTEE GEPAC",1331599,"623AC75A735BDB57897","SB23","2020 PRIMARY",
"C00450049","PAUL TONKO FOR CONGRESS",2500,"2019-02-14","DEM","C00024869","GENERAL ELECTRIC COMPANY POLITICAL ACTION COMMITTEE GEPAC",1331599,"CD557260120C5F57D6B","SB23","2020 PRIMARY",
"C00226522","RICHARD E NEAL FOR CONGRESS COMMITTEE",2500,"2019-02-14","DEM","C00024869","GENERAL ELECTRIC COMPANY POLITICAL ACTION COMMITTEE GEPAC",1331599,"C5F383CD6DCCBF3D780","SB23","2020 PRIMARY",
"C00167585","CITIZENS FOR WATERS",2500,"2019-02-14","DEM","C00024869","GENERAL ELECTRIC COMPANY POLITICAL ACTION COMMITTEE GEPAC",1331599,"ED5E28ECCFC1BE75775","SB23","2020 PRIMARY",
"C00376087","MARIO DIAZ BALART FOR CONGRESS",2500,"2019-02-14","REP","C00024869","GENERAL ELECTRIC COMPANY POLITICAL ACTION COMMITTEE GEPAC",1331599,"98E2092BCBAA66B9690","SB23","2020 PRIMARY",
"C00287912","LUCAS FOR CONGRESS",2500,"2019-02-14","REP","C00024869","GENERAL ELECTRIC COMPANY POLITICAL ACTION COMMITTEE GEPAC",1331599,"2A9885051A8B0415E1E","SB23","2020 PRIMARY",
"C00503052","JEFFRIES FOR CONGRESS",2500,"2019-02-14","DEM","C00024869","GENERAL ELECTRIC COMPANY POLITICAL ACTION COMMITTEE GEPAC",1331599,"1DB30262745178612B8","SB23","2020 PRIMARY",
"C00590778","LISA BLUNT ROCHESTER FOR CONGRESS",2500,"2019-02-14","DEM","C00024869","GENERAL ELECTRIC COMPANY POLITICAL ACTION COMMITTEE GEPAC",1331599,"BCE23AC2B8255256C55","SB23","2020 PRIMARY",
"C00226928","PALLONE FOR CONGRESS",2500,"2019-02-14","DEM","C00024869","GENERAL ELECTRIC COMPANY POLITICAL ACTION COMMITTEE GEPAC",1331599,"5D6A7C2CB4897279C82","SB23","2020 PRIMARY",
"C00166504","VISCLOSKY FOR CONGRESS",2000,"2019-02-14","DEM","C00024869","GENERAL ELECTRIC COMPANY POLITICAL ACTION COMMITTEE GEPAC",1331599,"7A7DA61237268034749","SB23","2020 PRIMARY",
"C00207993","FRIENDS OF JIM INHOFE",1500,"2019-02-14","REP","C00024869","GENERAL ELECTRIC COMPANY POLITICAL ACTION COMMITTEE GEPAC",1331599,"FF2DC1BBAAB0908B303","SB23","2020 PRIMARY",
"C00308676","WYDEN FOR SENATE",1500,"2019-02-14","DEM","C00024869","GENERAL ELECTRIC COMPANY POLITICAL ACTION COMMITTEE GEPAC",1331599,"F768FD5BB500A96B5B1","SB23","2022 PRIMARY",
"C00545673","BYRNE FOR CONGRESS",1000,"2019-02-14","REP","C00024869","GENERAL ELECTRIC COMPANY POLITICAL ACTION COMMITTEE GEPAC",1331599,"A9994B91B69B6D7CF75","SB23","2020 PRIMARY",
"C00637371","CHRISSY HOULAHAN FOR CONGRESS",1000,"2019-02-14","DEM","C00024869","GENERAL ELECTRIC COMPANY POLITICAL ACTION COMMITTEE GEPAC",1331599,"A7877B03F5FC603193E","SB23","2020 PRIMARY",
"C00497818","WENSTRUP FOR CONGRESS",1000,"2019-02-14","REP","C00024869","GENERAL ELECTRIC COMPANY POLITICAL ACTION COMMITTEE GEPAC",1331599,"13D77F3BD375CCD8D62","SB23","2020 PRIMARY",
"C00468579","JACKIE WALORSKI",1000,"2019-02-14","REP","C00024869","GENERAL ELECTRIC COMPANY POLITICAL ACTION COMMITTEE GEPAC",1331599,"CBC2740D8D1D9F76C97","SB23","2020 PRIMARY",
"C00464602","VICKY HARTZLER FOR CONGRESS",1000,"2019-02-14","REP","C00024869","GENERAL ELECTRIC COMPANY POLITICAL ACTION COMMITTEE GEPAC",1331599,"008C575176D2D163C97","SB23","2020 PRIMARY",
"C00592659","VICENTE GONZALEZ FOR CONGRESS",1000,"2019-02-14","DEM","C00024869","GENERAL ELECTRIC COMPANY POLITICAL ACTION COMMITTEE GEPAC",1331599,"ABCAE8D26FEE54903E4","SB23","2020 PRIMARY",
"C00545772","THOM TILLIS COMMITTEE",1000,"2019-02-14","REP","C00024869","GENERAL ELECTRIC COMPANY POLITICAL ACTION COMMITTEE GEPAC",1331599,"D98B868BC5BA074E3CD","SB23","2020 PRIMARY",
"C00441352","STIVERS FOR CONGRESS",1000,"2019-02-14","REP","C00024869","GENERAL ELECTRIC COMPANY POLITICAL ACTION COMMITTEE GEPAC",1331599,"1E8F456C6CA0281A9E1","SB23","2020 PRIMARY",
"C00457325","SHAHEEN FOR SENATE",1000,"2019-02-14","DEM","C00024869","GENERAL ELECTRIC COMPANY POLITICAL ACTION COMMITTEE GEPAC",1331599,"325CCEB028C45661EA1","SB23","2020 PRIMARY",
"C00532465","ROUNDS FOR SENATE",1000,"2019-02-14","REP","C00024869","GENERAL ELECTRIC COMPANY POLITICAL ACTION COMMITTEE GEPAC",1331599,"3234494B7121EB4FE95","SB23","2020 PRIMARY",
"C00521948","RODNEY FOR CONGRESS",1000,"2019-02-14","REP","C00024869","GENERAL ELECTRIC COMPANY POLITICAL ACTION COMMITTEE GEPAC",1331599,"8062A1443BB90367E9A","SB23","2020 PRIMARY",
"C00539866","ROBIN KELLY FOR CONGRESS",1000,"2019-02-14","DEM","C00024869","GENERAL ELECTRIC COMPANY POLITICAL ACTION COMMITTEE GEPAC",1331599,"09B3A5967B6CF935D79","SB23","2020 PRIMARY",
"C00437889","PETERS FOR MICHIGAN",1000,"2019-02-14","DEM","C00024869","GENERAL ELECTRIC COMPANY POLITICAL ACTION COMMITTEE GEPAC",1331599,"C32BD3E34EBD396C262","SB23","2020 PRIMARY",
"C00510461","PETE AGUILAR FOR CONGRESS",1000,"2019-02-14","DEM","C00024869","GENERAL ELECTRIC COMPANY POLITICAL ACTION COMMITTEE GEPAC",1331599,"F1AEFAA1FA4EC876236","SB23","2020 PRIMARY",
"C00477323","PALAZZO FOR CONGRESS",1000,"2019-02-14","REP","C00024869","GENERAL ELECTRIC COMPANY POLITICAL ACTION COMMITTEE GEPAC",1331599,"CB95E2C99073D91E351","SB23","2020 PRIMARY",
"C00354688","MCCOLLUM FOR CONGRESS",1000,"2019-02-14","DEM","C00024869","GENERAL ELECTRIC COMPANY POLITICAL ACTION COMMITTEE GEPAC",1331599,"67A2C6E96D809F93286","SB23","2020 PRIMARY",
"C00575092","FRIENDS OF RAJA FOR CONGRESS",1000,"2019-02-14","DEM","C00024869","GENERAL ELECTRIC COMPANY POLITICAL ACTION COMMITTEE GEPAC",1331599,"B40ACB6E4DFFF9C22E2","SB23","2020 PRIMARY",
"C00444620","FRIENDS OF GLENN THOMPSON",1000,"2019-02-14","REP","C00024869","GENERAL ELECTRIC COMPANY POLITICAL ACTION COMMITTEE GEPAC",1331599,"DC20937D87330639726","SB23","2020 PRIMARY",
"C00148999","FRIENDS OF DICK DURBIN",1000,"2019-02-14","DEM","C00024869","GENERAL ELECTRIC COMPANY POLITICAL ACTION COMMITTEE GEPAC",1331599,"A15D72DAA1959029C19","SB23","2020 PRIMARY",
"C00506931","FRIENDS FOR CHRIS STEWART INC",1000,"2019-02-14","REP","C00024869","GENERAL ELECTRIC COMPANY POLITICAL ACTION COMMITTEE GEPAC",1331599,"12C387F76B74EF1BB5A","SB23","2020 CONVENTION",
"C00547893","ELISE FOR CONGRESS",1000,"2019-02-14","REP","C00024869","GENERAL ELECTRIC COMPANY POLITICAL ACTION COMMITTEE GEPAC",1331599,"5EBF0F253EEF9E20BE7","SB23","2020 PRIMARY",
"C00376673","DUTCH RUPPERSBERGER FOR CONGRESS COMMITTEE",1000,"2019-02-14","DEM","C00024869","GENERAL ELECTRIC COMPANY POLITICAL ACTION COMMITTEE GEPAC",1331599,"381B7B331D5013EB11D","SB23","2020 PRIMARY",
"C00472159","DENNY HECK FOR CONGRESS",1000,"2019-02-14","DEM","C00024869","GENERAL ELECTRIC COMPANY POLITICAL ACTION COMMITTEE GEPAC",1331599,"93DE439ABEDE510995F","SB23","2020 PRIMARY",
"C00459099","DELBENE FOR CONGRESS",1000,"2019-02-14","DEM","C00024869","GENERAL ELECTRIC COMPANY POLITICAL ACTION COMMITTEE GEPAC",1331599,"8D5A51148847B419718","SB23","2020 PRIMARY",
"C00660795","DAN CRENSHAW FOR CONGRESS",1000,"2019-02-14","REP","C00024869","GENERAL ELECTRIC COMPANY POLITICAL ACTION COMMITTEE GEPAC",1331599,"2D4B4E35D229DB1876C","SB23","2020 PRIMARY",
"C00499988","COTTON FOR SENATE INC",1000,"2019-02-14","REP","C00024869","GENERAL ELECTRIC COMPANY POLITICAL ACTION COMMITTEE GEPAC",1331599,"E1D17BDF9362542E6F4","SB23","2020 PRIMARY",
"C00492454","CORY GARDNER FOR SENATE",1000,"2019-02-14","REP","C00024869","GENERAL ELECTRIC COMPANY POLITICAL ACTION COMMITTEE GEPAC",1331599,"6254DD484EF22463E35","SB23","2020 PRIMARY",
"C00314575","COLLINS FOR SENATOR",1000,"2019-02-14","REP","C00024869","GENERAL ELECTRIC COMPANY POLITICAL ACTION COMMITTEE GEPAC",1331599,"9534E75AE4EFB8138DD","SB23","2020 PRIMARY",
"C00415331","CLARKE FOR CONGRESS",1000,"2019-02-14","DEM","C00024869","GENERAL ELECTRIC COMPANY POLITICAL ACTION COMMITTEE GEPAC",1331599,"4DC15E51E95E8844D7E","SB23","2020 PRIMARY",
"C00345546","CITIZENS TO ELECT RICK LARSEN",1000,"2019-02-14","DEM","C00024869","GENERAL ELECTRIC COMPANY POLITICAL ACTION COMMITTEE GEPAC",1331599,"D6DBD0A3CA5D6CB5BCE","SB23","2020 PRIMARY",
"C00458679","BLAINE FOR CONGRESS",1000,"2019-02-14","REP","C00024869","GENERAL ELECTRIC COMPANY POLITICAL ACTION COMMITTEE GEPAC",1331599,"958AA8AC686555DF1EA","SB23","2020 PRIMARY",
"C00500421","BONAMICI FOR CONGRESS",1000,"2019-02-14","DEM","C00024869","GENERAL ELECTRIC COMPANY POLITICAL ACTION COMMITTEE GEPAC",1331599,"55B7D38E975A1C2DDFE","SB23","2020 PRIMARY",
"C00311043","BRADY FOR CONGRESS",1000,"2019-02-14","REP","C00024869","GENERAL ELECTRIC COMPANY POLITICAL ACTION COMMITTEE GEPAC",1331599,"4EA09A0D53B446B7393","SB23","2020 PRIMARY",
"C00491357","DAINES",2000,"2019-02-19","REP","C00075341","MOTOROLA SOLUTIONS INC POLITICAL ACTION COMMITTEE",1331041,"93A4EAFF5809B399950","SB23","2020 PRIMARY",
"C00238907","THE REED COMMITTEE",1000,"2019-02-19","DEM","C00075341","MOTOROLA SOLUTIONS INC POLITICAL ACTION COMMITTEE",1331041,"6845E4A6755DA822F84","SB23","2020 GENERAL",
"C00464602","VICKY HARTZLER FOR CONGRESS",1000,"2019-02-19","REP","C00075341","MOTOROLA SOLUTIONS INC POLITICAL ACTION COMMITTEE",1331041,"C4895D405868FAD27B5","SB23","2020 PRIMARY",
"C00140715","HOYER FOR CONGRESS",5000,"2019-02-21","DEM","C00479246","BLACKROCK FUNDS SERVICES GROUP LLC POLITICAL ACTION COMMITTEE",1343573,"B717798","SB23","CONTRIBUTION",
"C00441352","STIVERS FOR CONGRESS",5000,"2019-02-21","REP","C00479246","BLACKROCK FUNDS SERVICES GROUP LLC POLITICAL ACTION COMMITTEE",1343573,"B717801","SB23","CONTRIBUTION",
"C00311043","BRADY FOR CONGRESS",5000,"2019-02-21","REP","C00479246","BLACKROCK FUNDS SERVICES GROUP LLC POLITICAL ACTION COMMITTEE",1343573,"B717796","SB23","CONTRIBUTION",
"C00311043","BRADY FOR CONGRESS",5000,"2019-02-21","REP","C00479246","BLACKROCK FUNDS SERVICES GROUP LLC POLITICAL ACTION COMMITTEE",1343573,"B717797","SB23","CONTRIBUTION",
"C00495846","ANN WAGNER FOR CONGRESS",2500,"2019-02-21","REP","C00479246","BLACKROCK FUNDS SERVICES GROUP LLC POLITICAL ACTION COMMITTEE",1343573,"B717794","SB23","CONTRIBUTION",
"C00290825","NADLER FOR CONGRESS INC",2500,"2019-02-21","DEM","C00479246","BLACKROCK FUNDS SERVICES GROUP LLC POLITICAL ACTION COMMITTEE",1343573,"B717792","SB23","CONTRIBUTION",
"C00551275","FRENCH HILL FOR ARKANSAS",2500,"2019-02-21","REP","C00479246","BLACKROCK FUNDS SERVICES GROUP LLC POLITICAL ACTION COMMITTEE",1343573,"B717800","SB23","CONTRIBUTION",
"C00620443","STEPHANIE MURPHY FOR CONGRESS",1500,"2019-02-21","DEM","C00479246","BLACKROCK FUNDS SERVICES GROUP LLC POLITICAL ACTION COMMITTEE",1343573,"B717793","SB23","CONTRIBUTION",
